id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
18380,B006,CCNL 24 aprile 1970 per gli addetti all'industria del laminato trasparente di viscosa (Cellofan),/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 16 settembre 1947 per gli addetti all'industria del laminato trasparente di viscosa (Cellofan) (B006).txt,242581,0.0043,clean
17175,K031,CCNL per i dipendenti elettrici dell'Enel,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL PER I DIPENDENTI ELETTRICI DELL'ENEL (K031).txt,238939,0.0046,clean
18067,B010,"CCNL del 17 marzo 1970 per gli addetti all'industria della saponeria, della detergenza e dei prodotti d'igiene","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 27 maggio 1967 per gli addetti all'industria olearia, dei grassi, della margarina, saponi e prodotti della detergenza ed affini (B010).txt",309705,0.0052,clean
17564,K311,CCNL per i lavoratori dipendenti dalle aziende private del gas aderenti all'ANIG,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per i lavoratori dipendenti dalle aziende private del gas (K311).txt,363285,0.01,clean
17847,E063,CCNL 14 gennaio 1970 per i lavoratori addetti alle industre della macinazione e della pastificazione,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 1 febbraio 1955 per il conglobamento e riassetto zonale delle retribuzioni nell'ndustra molitoria e della pastificazione (E063).txt,15362,0.0719,noisy
17153,C013,CCNL per i lavoratori dipendenti dalle aziende metalmeccaniche a partecipazione statale,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 16 luglio 1979 per i lavoratori dipendenti dalle aziende metalmeccaniche a partecipazione statale (C013).txt,357017,0.0035,clean
17160,C011,Contratto nazionale 8 gennaio 1970 per i lavoratori addetti all'industria metalmeccanica e alla installazione di impianti,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 15 ottobre 2009 per i lavoratori addetti all'industria metalmeccanica privata e alla installazione di impianti (C011).txt,468252,0.0035,clean
17730,F021,CCNL 17 dicembre1969 per igli IMPIEGATI dipendenti delle aziende produttrici di materiali laterizi ,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 11 luglio 2008 per i dipendenti delle aziende produttrici di laterizi e manufatti cementizi (F021).txt,348151,0.005,clean
17729,F021,CCNL 17 dicembre1969 per igli OPERAI  dipendenti delle aziende produttrici di materiali laterizi ,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 11 luglio 2008 per i dipendenti delle aziende produttrici di laterizi e manufatti cementizi (F021).txt,348151,0.005,clean
17353,F011,CCNL 3 dicembre 1969 per gli operai dipendenti delle imprese edili ed affini,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 3 dicembre 1969 per gli operai dipendenti delle imprese edili ed affini (F011).txt,163545,0.0045,clean
17810,E062,CCNL 22 novembre 1969 per gli addetti alla industria risiera,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 11 agosto 1954 per il conglobamento e riassetto zonale delle retribuzioni per gli addetti all'industria risiera (E062).txt,26769,0.055,noisy
18260,F041,CCNL 15 novembre 1969 per i lavoratori dipendenti da aziende esercenti l'attività di escavazione e lavorazione dei materiali lapidei,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per il rinnovo del CCNL 13 maggio 2004 per i lavoratori dipendenti da aziende esercenti l'attività di escavazione e lavorazione dei materiali  (F041).txt,63422,0.0057,clean
17884,E058,CCNL 9 luglio 1969 per i lavoratori addetti all'industra delle acque e bevande gassate,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 18 marzo 1958 per i lavoratori addetti all'industra delle acque e bevande gassate (E058).txt,153964,0.0104,clean
